"","scientific_name","region_name"
"1","Acanthaluteres spilomelanurus","Bass Strait Shelf Province "
"2","Acanthaluteres vittiger","Bass Strait Shelf Province "
"3","Acanthistius ocellatus","Bass Strait Shelf Province "
"4","Acanthogobius flavimanus","Bass Strait Shelf Province "
"5","Acanthopagrus butcheri","Bass Strait Shelf Province "
"6","Acentrogobius pflaumii","Bass Strait Shelf Province "
"7","Aetapcus maculatus","Bass Strait Shelf Province "
"8","Afurcagobius tamarensis","Bass Strait Shelf Province "
"9","Agrostichthys parkeri","Bass Strait Shelf Province "
"10","Alabes bathys","Bass Strait Shelf Province "
"11","Alabes dorsalis","Bass Strait Shelf Province "
"12","Alabes hoesei","Bass Strait Shelf Province "
"13","Alabes parvula","Bass Strait Shelf Province "
"14","Alabes scotti","Bass Strait Shelf Province "
"15","Aldrichetta forsteri","Bass Strait Shelf Province "
"16","Allomycterus pilatus","Bass Strait Shelf Province "
"17","Ammotretis lituratus","Bass Strait Shelf Province "
"18","Ammotretis macrolepis","Bass Strait Shelf Province "
"19","Ammotretis rostratus","Bass Strait Shelf Province "
"20","Anguilla australis","Bass Strait Shelf Province "
"21","Anguilla reinhardtii","Bass Strait Shelf Province "
"22","Anoplocapros inermis","Bass Strait Shelf Province "
"23","Anoplocapros lenticularis","Bass Strait Shelf Province "
"24","Aploactisoma milesii","Bass Strait Shelf Province "
"25","Aplodactylus arctidens","Bass Strait Shelf Province "
"26","Apopterygion alta","Bass Strait Shelf Province "
"27","Aptychotrema vincentiana","Bass Strait Shelf Province "
"28","Aracana aurita","Bass Strait Shelf Province "
"29","Aracana ornata","Bass Strait Shelf Province "
"30","Arenigobius bifrenatus","Bass Strait Shelf Province "
"31","Arenigobius frenatus","Bass Strait Shelf Province "
"32","Argentina australiae","Bass Strait Shelf Province "
"33","Argyrosomus japonicus","Bass Strait Shelf Province "
"34","Arnoglossus armstrongi","Bass Strait Shelf Province "
"35","Arnoglossus bassensis","Bass Strait Shelf Province "
"36","Arnoglossus muelleri","Bass Strait Shelf Province "
"37","Arothron firmamentum","Bass Strait Shelf Province "
"38","Arripis georgianus","Bass Strait Shelf Province "
"39","Arripis trutta","Bass Strait Shelf Province "
"40","Arripis truttaceus","Bass Strait Shelf Province "
"41","Aspasmogaster costata","Bass Strait Shelf Province "
"42","Aspasmogaster liorhynchus","Bass Strait Shelf Province "
"43","Aspasmogaster tasmaniensis","Bass Strait Shelf Province "
"44","Asymbolus rubiginosus","Bass Strait Shelf Province "
"45","Asymbolus vincenti","Bass Strait Shelf Province "
"46","Atherinason hepsetoides","Bass Strait Shelf Province "
"47","Atherinosoma microstoma","Bass Strait Shelf Province "
"48","Atypichthys strigatus","Bass Strait Shelf Province "
"49","Auxis rochei","Bass Strait Shelf Province "
"50","Auxis thazard","Bass Strait Shelf Province "
"51","Bathytoshia brevicaudata","Bass Strait Shelf Province "
"52","Bathytoshia lata","Bass Strait Shelf Province "
"53","Bodianus unimaculatus","Bass Strait Shelf Province "
"54","Bovichtus angustifrons","Bass Strait Shelf Province "
"55","Brachaluteres jacksonianus","Bass Strait Shelf Province "
"56","Brachionichthys australis","Bass Strait Shelf Province "
"57","Brachionichthys hirsutus","Bass Strait Shelf Province "
"58","Brachiopsilus dossenus","Bass Strait Shelf Province "
"59","Brachynectes fasciatus","Bass Strait Shelf Province "
"60","Caesioperca lepidopterus","Bass Strait Shelf Province "
"61","Caesioperca rasor","Bass Strait Shelf Province "
"62","Callanthias australis","Bass Strait Shelf Province "
"63","Callogobius depressus","Bass Strait Shelf Province "
"64","Callogobius mucosus","Bass Strait Shelf Province "
"65","Callorhinchus milii","Bass Strait Shelf Province "
"66","Capropygia unistriata","Bass Strait Shelf Province "
"67","Carcharhinus brachyurus","Bass Strait Shelf Province "
"68","Carcharhinus obscurus","Bass Strait Shelf Province "
"69","Carcharias taurus","Bass Strait Shelf Province "
"70","Carcharodon carcharias","Bass Strait Shelf Province "
"71","Centroberyx affinis","Bass Strait Shelf Province "
"72","Centroberyx gerrardi","Bass Strait Shelf Province "
"73","Centroberyx lineatus","Bass Strait Shelf Province "
"74","Centropogon australis","Bass Strait Shelf Province "
"75","Cephaloscyllium laticeps","Bass Strait Shelf Province "
"76","Cepola australis","Bass Strait Shelf Province "
"77","Cetorhinus maximus","Bass Strait Shelf Province "
"78","Cheilodactylus nigripes","Bass Strait Shelf Province "
"79","Cheilodactylus spectabilis","Bass Strait Shelf Province "
"80","Chelidonichthys kumu","Bass Strait Shelf Province "
"81","Chironemus georgianus","Bass Strait Shelf Province "
"82","Chironemus maculosus","Bass Strait Shelf Province "
"83","Chironemus marmoratus","Bass Strait Shelf Province "
"84","Chromis hypsilepis","Bass Strait Shelf Province "
"85","Chrysophrys auratus","Bass Strait Shelf Province "
"86","Cnidoglanis macrocephalus","Bass Strait Shelf Province "
"87","Cochleoceps bassensis","Bass Strait Shelf Province "
"88","Cochleoceps bicolor","Bass Strait Shelf Province "
"89","Conger verreauxi","Bass Strait Shelf Province "
"90","Contusus brevicaudus","Bass Strait Shelf Province "
"91","Contusus richei","Bass Strait Shelf Province "
"92","Coryphaena hippurus","Bass Strait Shelf Province "
"93","Crapatalus munroi","Bass Strait Shelf Province "
"94","Creedia haswelli","Bass Strait Shelf Province "
"95","Creocele cardinalis","Bass Strait Shelf Province "
"96","Cristiceps argyropleura","Bass Strait Shelf Province "
"97","Cristiceps aurantiacus","Bass Strait Shelf Province "
"98","Cristiceps australis","Bass Strait Shelf Province "
"99","Cyttus australis","Bass Strait Shelf Province "
"100","Cyttus novaezealandiae","Bass Strait Shelf Province "
"101","Dactylophora nigricans","Bass Strait Shelf Province "
"102","Dactylosurculus gomoni","Bass Strait Shelf Province "
"103","Dalatias licha","Bass Strait Shelf Province "
"104","Deania calceus","Bass Strait Shelf Province "
"105","Deania quadrispinosa","Bass Strait Shelf Province "
"106","Dentiraja cerva","Bass Strait Shelf Province "
"107","Dentiraja confusa","Bass Strait Shelf Province "
"108","Dentiraja lemprieri","Bass Strait Shelf Province "
"109","Dicotylichthys punctulatus","Bass Strait Shelf Province "
"110","Dinolestes lewini","Bass Strait Shelf Province "
"111","Diodon nicthemerus","Bass Strait Shelf Province "
"112","Dotalabrus aurantiacus","Bass Strait Shelf Province "
"113","Echeneis naucrates","Bass Strait Shelf Province "
"114","Echinophryne crassispina","Bass Strait Shelf Province "
"115","Echinophryne mitchellii","Bass Strait Shelf Province "
"116","Echinophryne reynoldsi","Bass Strait Shelf Province "
"117","Echinorhinus brucus","Bass Strait Shelf Province "
"118","Echiodon anchipterus","Bass Strait Shelf Province "
"119","Echiodon rendahli","Bass Strait Shelf Province "
"120","Eeyorius hutchinsi","Bass Strait Shelf Province "
"121","Elops hawaiensis","Bass Strait Shelf Province "
"122","Emmelichthys nitidus","Bass Strait Shelf Province "
"123","Engraulis australis","Bass Strait Shelf Province "
"124","Enigmapercis reducta","Bass Strait Shelf Province "
"125","Enoplosus armatus","Bass Strait Shelf Province "
"126","Eocallionymus papilio","Bass Strait Shelf Province "
"127","Etmopterus lucifer","Bass Strait Shelf Province "
"128","Etrumeus teres","Bass Strait Shelf Province "
"129","Eubalichthys bucephalus","Bass Strait Shelf Province "
"130","Eubalichthys gunnii","Bass Strait Shelf Province "
"131","Eubalichthys mosaicus","Bass Strait Shelf Province "
"132","Eupetrichthys angustipes","Bass Strait Shelf Province "
"133","Favonigobius lateralis","Bass Strait Shelf Province "
"134","Figaro boardmani","Bass Strait Shelf Province "
"135","Fistularia petimba","Bass Strait Shelf Province "
"136","Foetorepus calauropomus","Bass Strait Shelf Province "
"137","Forsterygion lapillum","Bass Strait Shelf Province "
"138","Furgaleus macki","Bass Strait Shelf Province "
"139","Galaxias brevipinnis","Bass Strait Shelf Province "
"140","Galaxias maculatus","Bass Strait Shelf Province "
"141","Galaxias truttaceus","Bass Strait Shelf Province "
"142","Galeorhinus galeus","Bass Strait Shelf Province "
"143","Gasterochisma melampus","Bass Strait Shelf Province "
"144","Genypterus blacodes","Bass Strait Shelf Province "
"145","Genypterus tigerinus","Bass Strait Shelf Province "
"146","Girella elevata","Bass Strait Shelf Province "
"147","Girella tricuspidata","Bass Strait Shelf Province "
"148","Girella zebra","Bass Strait Shelf Province "
"149","Glyptauchen panduratus","Bass Strait Shelf Province "
"150","Gnathanacanthus goetzeei","Bass Strait Shelf Province "
"151","Gnathophis longicauda","Bass Strait Shelf Province "
"152","Gnathophis macroporis","Bass Strait Shelf Province "
"153","Gnathophis umbrellabia","Bass Strait Shelf Province "
"154","Gobiopterus semivestitus","Bass Strait Shelf Province "
"155","Gonorynchus greyi","Bass Strait Shelf Province "
"156","Gymnapistes marmoratus","Bass Strait Shelf Province "
"157","Gymnothorax austrinus","Bass Strait Shelf Province "
"158","Gymnothorax prasinus","Bass Strait Shelf Province "
"159","Halaphritis platycephala","Bass Strait Shelf Province "
"160","Haletta semifasciata","Bass Strait Shelf Province "
"161","Helicolenus percoides","Bass Strait Shelf Province "
"162","Heptranchias perlo","Bass Strait Shelf Province "
"163","Heraldia nocturna","Bass Strait Shelf Province "
"164","Herklotsichthys castelnaui","Bass Strait Shelf Province "
"165","Heteroclinus adelaidae","Bass Strait Shelf Province "
"166","Heteroclinus eckloniae","Bass Strait Shelf Province "
"167","Heteroclinus flavescens","Bass Strait Shelf Province "
"168","Heteroclinus heptaeolus","Bass Strait Shelf Province "
"169","Heteroclinus johnstoni","Bass Strait Shelf Province "
"170","Heteroclinus kuiteri","Bass Strait Shelf Province "
"171","Heteroclinus macrophthalmus","Bass Strait Shelf Province "
"172","Heteroclinus nasutus","Bass Strait Shelf Province "
"173","Heteroclinus perspicillatus","Bass Strait Shelf Province "
"174","Heteroclinus puellarum","Bass Strait Shelf Province "
"175","Heteroclinus roseus","Bass Strait Shelf Province "
"176","Heteroclinus tristis","Bass Strait Shelf Province "
"177","Heteroclinus wilsoni","Bass Strait Shelf Province "
"178","Heterodontus portusjacksoni","Bass Strait Shelf Province "
"179","Heteroscarus acroptilus","Bass Strait Shelf Province "
"180","Hexanchus griseus","Bass Strait Shelf Province "
"181","Hippocampus abdominalis","Bass Strait Shelf Province "
"182","Hippocampus breviceps","Bass Strait Shelf Province "
"183","Hippocampus minotaur","Bass Strait Shelf Province "
"184","Hirundichthys rufipinnis","Bass Strait Shelf Province "
"185","Histiogamphelus briggsii","Bass Strait Shelf Province "
"186","Hyperlophus vittatus","Bass Strait Shelf Province "
"187","Hypogaleus hyugaensis","Bass Strait Shelf Province "
"188","Hypoplectrodes maccullochi","Bass Strait Shelf Province "
"189","Hypoplectrodes nigroruber","Bass Strait Shelf Province "
"190","Hyporhamphus melanochir","Bass Strait Shelf Province "
"191","Hyporhamphus regularis","Bass Strait Shelf Province "
"192","Hypselognathus rostratus","Bass Strait Shelf Province "
"193","Iso rhothophilus","Bass Strait Shelf Province "
"194","Isurus oxyrinchus","Bass Strait Shelf Province "
"195","Kathetostoma canaster","Bass Strait Shelf Province "
"196","Kathetostoma laeve","Bass Strait Shelf Province "
"197","Katsuwonus pelamis","Bass Strait Shelf Province "
"198","Kestratherina brevirostris","Bass Strait Shelf Province "
"199","Kestratherina esox","Bass Strait Shelf Province "
"200","Kimblaeus bassensis","Bass Strait Shelf Province "
"201","Kuiterichthys furcipilis","Bass Strait Shelf Province "
"202","Kyphosus sydneyanus","Bass Strait Shelf Province "
"203","Latridopsis forsteri","Bass Strait Shelf Province "
"204","Latris lineata","Bass Strait Shelf Province "
"205","Latropiscis purpurissatus","Bass Strait Shelf Province "
"206","Lepidoblennius haplodactylus","Bass Strait Shelf Province "
"207","Lepidocybium flavobrunneum","Bass Strait Shelf Province "
"208","Lepidoperca pulchella","Bass Strait Shelf Province "
"209","Lepidopus caudatus","Bass Strait Shelf Province "
"210","Lepidotrigla modesta","Bass Strait Shelf Province "
"211","Lepidotrigla mulhalli","Bass Strait Shelf Province "
"212","Lepidotrigla papilio","Bass Strait Shelf Province "
"213","Lepidotrigla vanessa","Bass Strait Shelf Province "
"214","Leptatherina presbyteroides","Bass Strait Shelf Province "
"215","Leptoichthys fistularius","Bass Strait Shelf Province "
"216","Lesueurina platycephala","Bass Strait Shelf Province "
"217","Lissocampus caudalis","Bass Strait Shelf Province "
"218","Lissocampus runa","Bass Strait Shelf Province "
"219","Liza argentea","Bass Strait Shelf Province "
"220","Lophonectes gallus","Bass Strait Shelf Province "
"221","Lophotus guntheri","Bass Strait Shelf Province "
"222","Lotella phycis","Bass Strait Shelf Province "
"223","Lotella rhacina","Bass Strait Shelf Province "
"224","Lovettia sealii","Bass Strait Shelf Province "
"225","Macquaria colonorum","Bass Strait Shelf Province "
"226","Macroramphosus scolopax","Bass Strait Shelf Province "
"227","Macruronus novaezelandiae","Bass Strait Shelf Province "
"228","Maroubra perserrata","Bass Strait Shelf Province "
"229","Maxillicosta meridianus","Bass Strait Shelf Province "
"230","Maxillicosta scabriceps","Bass Strait Shelf Province "
"231","Maxillicosta whitleyi","Bass Strait Shelf Province "
"232","Meuschenia australis","Bass Strait Shelf Province "
"233","Meuschenia flavolineata","Bass Strait Shelf Province "
"234","Meuschenia freycineti","Bass Strait Shelf Province "
"235","Meuschenia galii","Bass Strait Shelf Province "
"236","Meuschenia hippocrepis","Bass Strait Shelf Province "
"237","Meuschenia scabra","Bass Strait Shelf Province "
"238","Meuschenia venusta","Bass Strait Shelf Province "
"239","Mitotichthys mollisoni","Bass Strait Shelf Province "
"240","Mitotichthys semistriatus","Bass Strait Shelf Province "
"241","Mitotichthys tuckeri","Bass Strait Shelf Province "
"242","Mitsukurina owstoni","Bass Strait Shelf Province "
"243","Mola ramsayi","Bass Strait Shelf Province "
"244","Monacanthus chinensis","Bass Strait Shelf Province "
"245","Monothrix polylepis","Bass Strait Shelf Province "
"246","Mugil cephalus","Bass Strait Shelf Province "
"247","Mugilogobius platynotus","Bass Strait Shelf Province "
"248","Mustelus antarcticus","Bass Strait Shelf Province "
"249","Myliobatis tenuicaudatus","Bass Strait Shelf Province "
"250","Myxus elongatus","Bass Strait Shelf Province "
"251","Narcine tasmaniensis","Bass Strait Shelf Province "
"252","Naucrates ductor","Bass Strait Shelf Province "
"253","Nelusetta ayraud","Bass Strait Shelf Province "
"254","Nemadactylus douglasii","Bass Strait Shelf Province "
"255","Nemadactylus macroptera","Bass Strait Shelf Province "
"256","Nemadactylus valenciennesi","Bass Strait Shelf Province "
"257","Neochanna cleaveri","Bass Strait Shelf Province "
"258","Neoodax balteatus","Bass Strait Shelf Province "
"259","Neopataecus waterhousii","Bass Strait Shelf Province "
"260","Neosebastes pandus","Bass Strait Shelf Province "
"261","Neosebastes scorpaenoides","Bass Strait Shelf Province "
"262","Neosebastes thetidis","Bass Strait Shelf Province "
"263","Nesogobius greeni","Bass Strait Shelf Province "
"264","Nesogobius hinsbyi","Bass Strait Shelf Province "
"265","Nesogobius maccullochi","Bass Strait Shelf Province "
"266","Nesogobius pulchellus","Bass Strait Shelf Province "
"267","Notiocampus ruber","Bass Strait Shelf Province "
"268","Notolabrus fucicola","Bass Strait Shelf Province "
"269","Notolabrus parilus","Bass Strait Shelf Province "
"270","Notolabrus tetricus","Bass Strait Shelf Province "
"271","Notopogon lilliei","Bass Strait Shelf Province "
"272","Notorynchus cepedianus","Bass Strait Shelf Province "
"273","Olisthops cyanomelas","Bass Strait Shelf Province "
"274","Omegophora armilla","Bass Strait Shelf Province "
"275","Omobranchus anolius","Bass Strait Shelf Province "
"276","Ophiclinops varius","Bass Strait Shelf Province "
"277","Ophiclinus gabrieli","Bass Strait Shelf Province "
"278","Ophiclinus gracilis","Bass Strait Shelf Province "
"279","Ophiclinus ningulus","Bass Strait Shelf Province "
"280","Ophisurus serpens","Bass Strait Shelf Province "
"281","Ophthalmolepis lineolata","Bass Strait Shelf Province "
"282","Oplegnathus woodwardi","Bass Strait Shelf Province "
"283","Optivus agastos","Bass Strait Shelf Province "
"284","Orectolobus halei","Bass Strait Shelf Province "
"285","Othos dentex","Bass Strait Shelf Province "
"286","Oxyporhamphus micropterus","Bass Strait Shelf Province "
"287","Parablennius tasmanianus","Bass Strait Shelf Province "
"288","Parapercis allporti","Bass Strait Shelf Province "
"289","Paraplesiops alisonae","Bass Strait Shelf Province "
"290","Paraplesiops meleagris","Bass Strait Shelf Province "
"291","Parapriacanthus elongatus","Bass Strait Shelf Province "
"292","Parascyllium ferrugineum","Bass Strait Shelf Province "
"293","Parascyllium variolatum","Bass Strait Shelf Province "
"294","Paratrachichthys macleayi","Bass Strait Shelf Province "
"295","Paraulopus nigripinnis","Bass Strait Shelf Province "
"296","Parazanclistius hutchinsi","Bass Strait Shelf Province "
"297","Parequula melbournensis","Bass Strait Shelf Province "
"298","Paristiopterus labiosus","Bass Strait Shelf Province "
"299","Parma microlepis","Bass Strait Shelf Province "
"300","Parma victoriae","Bass Strait Shelf Province "
"301","Parvicrepis parvipinnis","Bass Strait Shelf Province "
"302","Pavoraja nitida","Bass Strait Shelf Province "
"303","Pegasus lancifer","Bass Strait Shelf Province "
"304","Pempheris multiradiata","Bass Strait Shelf Province "
"305","Pentaceropsis recurvirostris","Bass Strait Shelf Province "
"306","Pentaceros decacanthus","Bass Strait Shelf Province "
"307","Philypnodon grandiceps","Bass Strait Shelf Province "
"308","Phyllophryne scortea","Bass Strait Shelf Province "
"309","Phyllopteryx taeniolatus","Bass Strait Shelf Province "
"310","Pictilabrus laticlavius","Bass Strait Shelf Province "
"311","Plagiogeneion rubiginosum","Bass Strait Shelf Province "
"312","Platycephalus aurimaculatus","Bass Strait Shelf Province "
"313","Platycephalus bassensis","Bass Strait Shelf Province "
"314","Platycephalus caeruleopunctatus","Bass Strait Shelf Province "
"315","Platycephalus conatus","Bass Strait Shelf Province "
"316","Platycephalus laevigatus","Bass Strait Shelf Province "
"317","Platycephalus richardsoni","Bass Strait Shelf Province "
"318","Platycephalus speculator","Bass Strait Shelf Province "
"319","Pomatomus saltatrix","Bass Strait Shelf Province "
"320","Posidonichthys hutchinsi","Bass Strait Shelf Province "
"321","Potamalosa richmondia","Bass Strait Shelf Province "
"322","Prionace glauca","Bass Strait Shelf Province "
"323","Pristiophorus cirratus","Bass Strait Shelf Province "
"324","Pristiophorus nudipinnis","Bass Strait Shelf Province "
"325","Prototroctes maraena","Bass Strait Shelf Province "
"326","Pseudaphritis urvillii","Bass Strait Shelf Province "
"327","Pseudocaranx georgianus","Bass Strait Shelf Province "
"328","Pseudocaranx wrighti","Bass Strait Shelf Province "
"329","Pseudolabrus rubicundus","Bass Strait Shelf Province "
"330","Pseudopentaceros richardsoni","Bass Strait Shelf Province "
"331","Pseudophycis bachus","Bass Strait Shelf Province "
"332","Pseudophycis barbata","Bass Strait Shelf Province "
"333","Pseudophycis breviuscula","Bass Strait Shelf Province "
"334","Pteroplatytrygon violacea","Bass Strait Shelf Province "
"335","Pterygotrigla polyommata","Bass Strait Shelf Province "
"336","Pugnaso curtirostris","Bass Strait Shelf Province "
"337","Rachycentron canadum","Bass Strait Shelf Province "
"338","Ranzania laevis","Bass Strait Shelf Province "
"339","Redigobius macrostoma","Bass Strait Shelf Province "
"340","Regalecus glesne","Bass Strait Shelf Province "
"341","Remora remora","Bass Strait Shelf Province "
"342","Retropinna semoni","Bass Strait Shelf Province "
"343","Retropinna tasmanica","Bass Strait Shelf Province "
"344","Rhombosolea tapirina","Bass Strait Shelf Province "
"345","Rhycherus filamentosus","Bass Strait Shelf Province "
"346","Sarda australis","Bass Strait Shelf Province "
"347","Sardinops sagax","Bass Strait Shelf Province "
"348","Scobinichthys granulatus","Bass Strait Shelf Province "
"349","Scolecenchelys australis","Bass Strait Shelf Province "
"350","Scolecenchelys breviceps","Bass Strait Shelf Province "
"351","Scomber australasicus","Bass Strait Shelf Province "
"352","Scomberesox saurus","Bass Strait Shelf Province "
"353","Scomberomorus commerson","Bass Strait Shelf Province "
"354","Scorpaena papillosa","Bass Strait Shelf Province "
"355","Scorpis aequipinnis","Bass Strait Shelf Province "
"356","Scorpis lineolata","Bass Strait Shelf Province "
"357","Seriola lalandi","Bass Strait Shelf Province "
"358","Seriolella brama","Bass Strait Shelf Province "
"359","Seriolella punctata","Bass Strait Shelf Province "
"360","Sillaginodes punctatus","Bass Strait Shelf Province "
"361","Sillago bassensis","Bass Strait Shelf Province "
"362","Sillago ciliata","Bass Strait Shelf Province "
"363","Sillago flindersi","Bass Strait Shelf Province "
"364","Siphamia cephalotes","Bass Strait Shelf Province "
"365","Siphonognathus argyrophanes","Bass Strait Shelf Province "
"366","Siphonognathus attenuatus","Bass Strait Shelf Province "
"367","Siphonognathus beddomei","Bass Strait Shelf Province "
"368","Siphonognathus caninis","Bass Strait Shelf Province "
"369","Siphonognathus radiatus","Bass Strait Shelf Province "
"370","Siphonognathus tanyourus","Bass Strait Shelf Province "
"371","Solegnathus spinosissimus","Bass Strait Shelf Province "
"372","Sphyraena novaehollandiae","Bass Strait Shelf Province "
"373","Sphyrna zygaena","Bass Strait Shelf Province "
"374","Spiniraja whitleyi","Bass Strait Shelf Province "
"375","Spratelloides robustus","Bass Strait Shelf Province "
"376","Sprattus novaehollandiae","Bass Strait Shelf Province "
"377","Squalus acanthias","Bass Strait Shelf Province "
"378","Squalus megalops","Bass Strait Shelf Province "
"379","Squatina australis","Bass Strait Shelf Province "
"380","Sticharium clarkae","Bass Strait Shelf Province "
"381","Sticharium dorsale","Bass Strait Shelf Province "
"382","Stigmatopora argus","Bass Strait Shelf Province "
"383","Stigmatopora nigra","Bass Strait Shelf Province "
"384","Stipecampus cristatus","Bass Strait Shelf Province "
"385","Strongylura leiurus","Bass Strait Shelf Province "
"386","Taratretis derwentensis","Bass Strait Shelf Province "
"387","Tasmanogobius gloveri","Bass Strait Shelf Province "
"388","Tasmanogobius lasti","Bass Strait Shelf Province "
"389","Tetractenos glaber","Bass Strait Shelf Province "
"390","Thalasseleotris adela","Bass Strait Shelf Province "
"391","Thamnaconus degeni","Bass Strait Shelf Province "
"392","Thunnus alalunga","Bass Strait Shelf Province "
"393","Thunnus maccoyii","Bass Strait Shelf Province "
"394","Thymichthys politus","Bass Strait Shelf Province "
"395","Thymichthys verrucosus","Bass Strait Shelf Province "
"396","Thyrsites atun","Bass Strait Shelf Province "
"397","Tilodon sexfasciatus","Bass Strait Shelf Province "
"398","Torpedo macneilli","Bass Strait Shelf Province "
"399","Trachichthys australis","Bass Strait Shelf Province "
"400","Trachinops caudimaculatus","Bass Strait Shelf Province "
"401","Trachipterus jacksonensis","Bass Strait Shelf Province "
"402","Trachipterus trachypterus","Bass Strait Shelf Province "
"403","Trachurus declivis","Bass Strait Shelf Province "
"404","Trachurus murphyi","Bass Strait Shelf Province "
"405","Trachurus novaezelandiae","Bass Strait Shelf Province "
"406","Trianectes bucephalus","Bass Strait Shelf Province "
"407","Trichiurus lepturus","Bass Strait Shelf Province "
"408","Tridentiger trigonocephalus","Bass Strait Shelf Province "
"409","Trinorfolkia clarkei","Bass Strait Shelf Province "
"410","Trinorfolkia incisa","Bass Strait Shelf Province "
"411","Trygonoptera imitata","Bass Strait Shelf Province "
"412","Trygonorrhina dumerilii","Bass Strait Shelf Province "
"413","Upeneichthys vlamingii","Bass Strait Shelf Province "
"414","Urocampus carinirostris","Bass Strait Shelf Province "
"415","Urolophus bucculentus","Bass Strait Shelf Province "
"416","Urolophus cruciatus","Bass Strait Shelf Province "
"417","Urolophus gigas","Bass Strait Shelf Province "
"418","Urolophus paucimaculatus","Bass Strait Shelf Province "
"419","Urolophus viridis","Bass Strait Shelf Province "
"420","Vanacampus margaritifer","Bass Strait Shelf Province "
"421","Vanacampus phillipi","Bass Strait Shelf Province "
"422","Vanacampus poecilolaemus","Bass Strait Shelf Province "
"423","Verilus anomalus","Bass Strait Shelf Province "
"424","Vincentia conspersa","Bass Strait Shelf Province "
"425","Xenocephalus armatus","Bass Strait Shelf Province "
"426","Xiphias gladius","Bass Strait Shelf Province "
"427","Zanclistius elevatus","Bass Strait Shelf Province "
"428","Zebrias scalaris","Bass Strait Shelf Province "
"429","Zenopsis nebulosa","Bass Strait Shelf Province "
"430","Zeus faber","Bass Strait Shelf Province "
"431","Abudefduf septemfasciatus","Cape Province "
"432","Acanthochromis polyacanthus","Cape Province "
"433","Acanthocybium solandri","Cape Province "
"434","Acanthurus lineatus","Cape Province "
"435","Acanthurus nigrofuscus","Cape Province "
"436","Aeoliscus strigatus","Cape Province "
"437","Aldrovandia affinis","Cape Province "
"438","Aldrovandia phalacra","Cape Province "
"439","Alionematichthys riukiuensis","Cape Province "
"440","Amarsipus carlsbergi","Cape Province "
"441","Amblycirrhitus bimacula","Cape Province "
"442","Amblyeleotris steinitzi","Cape Province "
"443","Amblyglyphidodon aureus","Cape Province "
"444","Amblyglyphidodon leucogaster","Cape Province "
"445","Amblygobius phalaena","Cape Province "
"446","Amblygobius rainfordi","Cape Province "
"447","Amphiprion chrysopterus","Cape Province "
"448","Amphiprion percula","Cape Province "
"449","Amsichthys knighti","Cape Province "
"450","Anampses neoguinaicus","Cape Province "
"451","Anampses twistii","Cape Province "
"452","Anarchias leucurus","Cape Province "
"453","Antennatus coccineus","Cape Province "
"454","Antigonia rhomboidea","Cape Province "
"455","Aphyonus gelatinosus","Cape Province "
"456","Apogon crassiceps","Cape Province "
"457","Apogon semiornatus","Cape Province "
"458","Apogonichthyoides brevicaudatus","Cape Province "
"459","Aporops bilinearis","Cape Province "
"460","Aprion virescens","Cape Province "
"461","Argyripnus ephippiatus","Cape Province "
"462","Argyropelecus aculeatus","Cape Province "
"463","Argyropelecus sladeni","Cape Province "
"464","Ariomma indicum","Cape Province "
"465","Ariomma luridum","Cape Province "
"466","Arothron hispidus","Cape Province "
"467","Arothron manilensis","Cape Province "
"468","Arothron mappa","Cape Province "
"469","Arothron nigropunctatus","Cape Province "
"470","Asterropteryx semipunctata","Cape Province "
"471","Asthenomacrurus victoris","Cape Province "
"472","Astronesthes ijimai","Cape Province "
"473","Astronesthes splendidus","Cape Province "
"474","Ateleopus japonicus","Cape Province "
"475","Atherinomorus lacunosus","Cape Province "
"476","Aulostomus chinensis","Cape Province "
"477","Auxis rochei","Cape Province "
"478","Auxis thazard","Cape Province "
"479","Avocettina acuticeps","Cape Province "
"480","Balistoides conspicillum","Cape Province "
"481","Bassozetus compressus","Cape Province "
"482","Bathophilus abarbatus","Cape Province "
"483","Bathophilus longipinnis","Cape Province "
"484","Bathysauroides gigas","Cape Province "
"485","Bathyuroconger vicinus","Cape Province "
"486","Belonoperca chabanaudi","Cape Province "
"487","Benthosema fibulatum","Cape Province "
"488","Bhanotia fasciolata","Cape Province "
"489","Blachea xenobranchialis","Cape Province "
"490","Bodianus axillaris","Cape Province "
"491","Bodianus dictynna","Cape Province "
"492","Bodianus loxozonus","Cape Province "
"493","Bolinichthys longipes","Cape Province "
"494","Bothus mancus","Cape Province "
"495","Bothus pantherinus","Cape Province "
"496","Brama dussumieri","Cape Province "
"497","Brama orcini","Cape Province "
"498","Bregmaceros atlanticus","Cape Province "
"499","Bregmaceros mcclellandi","Cape Province "
"500","Bregmaceros nectabanus","Cape Province "
"501","Brotula multibarbata","Cape Province "
"502","Bryaninops isis","Cape Province "
"503","Bryaninops loki","Cape Province "
"504","Bryaninops nexus","Cape Province "
"505","Bryaninops tigris","Cape Province "
"506","Callogobius sclateri","Cape Province "
"507","Calumia godeffroyi","Cape Province "
"508","Cantherhines pardalis","Cape Province "
"509","Canthidermis maculata","Cape Province "
"510","Canthigaster bennetti","Cape Province "
"511","Canthigaster janthinopterus","Cape Province "
"512","Canthigaster valentini","Cape Province "
"513","Caracanthus maculatus","Cape Province "
"514","Caracanthus unipinna","Cape Province "
"515","Caranx ignobilis","Cape Province "
"516","Caranx papuensis","Cape Province "
