"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","37441024","solandri","Acanthocybium solandri (Cuvier, 1832)","SCOMBRIDAE","Acanthocybium","","solandri","","Valid Name","","Species","","Cuvier","1832","N","d479b17e-d307-4e87-b353-ebec942ab43d","20131008T23:07:52.756+0000","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","20131008T23:07:52.756+0000","5110559f-ef6f-4937-95a5-b03e2f548aba","f87aac26-a3ee-4e16-a9f7-e0426bb94f1f","","","","","","","","","","","","","","",""
"","37128001","ferox","Alepisaurus ferox Lowe, 1833","ALEPISAURIDAE","Alepisaurus","","ferox","","Valid Name","","Species","","Lowe","1833","Y","1781c4e2-3841-46ff-bbe2-5b028ca6f2b1","20160714T09:38:53.984+0000","09365590-119f-4aa6-b550-95b349002236","20161222T00:27:39.419+0000","b41e003d-2237-4b02-a2f2-2bb028c7ae21","09365590-119f-4aa6-b550-95b349002236","","","","","","","","","","","","","","",""
"","37012002","superciliosus","Alopias superciliosus Lowe, 1841","ALOPIIDAE","Alopias","","superciliosus","","Valid Name","","Species","","Lowe","1841","Y","2e134528-d77f-477a-8b99-3661d9f6d03c","20140313T03:41:28.159+0000","53b1e2bc-856f-4b0d-8131-9a8cbe0a3ed5","20150715T22:47:32.147+0000","4ffdec34-5d8b-4e65-9d18-3416f3aca91c","53b1e2bc-856f-4b0d-8131-9a8cbe0a3ed5","","","","","","","","","","","","","","",""
"","37257001","cornuta","Anoplogaster cornuta (Valenciennes, 1833)","ANOPLOGASTRIDAE","Anoplogaster","","cornuta","","Valid Name","","Species","","Valenciennes","1833","N","5a8678a2-1a3f-4874-98c6-07fbabef20fc","20160520T07:15:08.678+0000","732817fa-bd1e-4933-b86d-5256b5185c65","20160606T05:15:12.352+0000","8928ee4e-8dcb-482b-ab38-9e63bd753497","732817fa-bd1e-4933-b86d-5256b5185c65","","","","","","","","","","","","","","",""
"","37267001","rhomboidea","Antigonia rhomboidea McCulloch, 1915","CAPROIDAE","Antigonia","","rhomboidea","","Valid Name","","Species","","McCulloch","1915","Y","7332822c-e574-40eb-a67e-261be7128cac","20130204T07:03:13.361+0000","9aa896c8-369f-4759-86e7-eec4226e73b0","20140219T05:34:51.903+0000","14cc3984-cfb4-4eee-9a56-db70737299e9","9aa896c8-369f-4759-86e7-eec4226e73b0","","","","","","","","","","","","","","",""
"","37440010","capricornis","Aphanopus capricornis Parin, 1994","TRICHIURIDAE","Aphanopus","","capricornis","","Valid Name","","Species","","Parin","1994","Y","01e705fb-a0cf-48a1-b6b4-b4d2b870e0d6","20131008T23:07:52.756+0000","de71684a-8e6f-43b8-84f1-48e6d1d67402","20131008T23:07:52.756+0000","dcb74e21-5259-4a9e-9e38-bf1550778351","de71684a-8e6f-43b8-84f1-48e6d1d67402","","","","","","","","","","","","","","",""
"","37015020","australis","Apristurus australis Sato, Nakaya & Yorozu, 2008","SCYLIORHINIDAE","Apristurus","","australis","","Valid Name","","Species","","Sato, Nakaya & Yorozu","2008","Y","60997707-f75e-4548-b562-22b82e8db328","20140725T07:02:42.508+0000","bc535953-8360-49a4-9726-a400529ad8e8","20140725T07:02:42.508+0000","f4aaa359-8018-40aa-a9fd-615162870343","bc535953-8360-49a4-9726-a400529ad8e8","","","","","","","","","","","","","","",""
"","37107012","ephippiatus","Argyripnus ephippiatus Gilbert & Cramer, 1897","STERNOPTYCHIDAE","Argyripnus","","ephippiatus","","Valid Name","","Species","","Gilbert & Cramer","1897","Y","b36eb576-08b4-4997-9ccb-3b7ea74126b3","20081009T05:11:37.000+0000","44780edf-3cf5-4c9a-a469-fde43ef2bcc6","20140219T00:07:36.817+0000","20911fac-9f95-474a-b349-bc466288395e","44780edf-3cf5-4c9a-a469-fde43ef2bcc6","","","","","","","","","","","","","","",""
"","37107001","aculeatus","Argyropelecus aculeatus Valenciennes, 1849","STERNOPTYCHIDAE","Argyropelecus","","aculeatus","","Valid Name","","Species","","Valenciennes","1849","Y","7b60bc6a-45a1-44de-8370-ce7abd45fa72","20081009T05:11:37.000+0000","f45da499-6eb1-4db2-abcb-08e9b9773336","20100727T00:03:17.157+0000","2e69433c-e89c-4e57-915f-87f5026a2d55","f45da499-6eb1-4db2-abcb-08e9b9773336","","","","","","","","","","","","","","",""
"","37107013","sladeni","Argyropelecus sladeni Regan, 1908","STERNOPTYCHIDAE","Argyropelecus","","sladeni","","Valid Name","","Species","","Regan","1908","Y","92113012-efef-48ad-b31a-c8f34469931d","20081009T05:11:37.000+0000","e4e786d5-b383-4810-9ac4-c53434e0f013","20180313T00:53:05.345+0000","2e69433c-e89c-4e57-915f-87f5026a2d55","e4e786d5-b383-4810-9ac4-c53434e0f013","","","","","","","","","","","","","","",""
"","37067038","howensis","Ariosoma howensis (McCulloch & Waite, 1916)","CONGRIDAE","Ariosoma","","howensis","","Valid Name","","Species","","McCulloch & Waite","1916","N","26d951c6-ce58-4ff2-9cac-4d6986bf123e","20180731T13:32:39.594+0000","7a4f32be-9c2f-4d5c-bd38-a2e301460b87","20190305T04:57:36.559+0000","673f2749-35b5-4b29-9bb4-f46b5e86836d","7a4f32be-9c2f-4d5c-bd38-a2e301460b87","","","","","","","","","","","","","","",""
"","37108015","ijimai","Astronesthes ijimai Tanaka, 1908","STOMIIDAE","Astronesthes","","ijimai","","Valid Name","","Species","","Tanaka","1908","Y","603e7dbe-d9d8-4e99-b42d-9b7dbe1a4ce1","20081009T05:11:37.000+0000","724e6cc1-2869-4167-b369-7fa8810e1401","20100727T00:03:17.157+0000","f0357aca-b57d-4128-bd13-79f124443f09","724e6cc1-2869-4167-b369-7fa8810e1401","","","","","","","","","","","","","","",""
"","37108020","splendidus","Astronesthes splendidus Brauer, 1902","STOMIIDAE","Astronesthes","","splendidus","","Valid Name","","Species","","Brauer","1902","Y","c46f6318-c804-4ef5-b6de-0324b9d0c41c","20081009T05:11:37.000+0000","ce0e13fc-8fb9-4d68-b50c-05f81c2f58f9","20100727T00:03:17.157+0000","f0357aca-b57d-4128-bd13-79f124443f09","ce0e13fc-8fb9-4d68-b50c-05f81c2f58f9","","","","","","","","","","","","","","",""
"","37136001","japonicus","Ateleopus japonicus Bleeker, 1853","ATELEOPODIDAE","Ateleopus","","japonicus","","Valid Name","","Species","","Bleeker","1853","Y","a93925ab-f978-4a18-8898-cd5925a18cc2","20110422T12:31:10.502+0000","ea8d3cc1-fbc9-4c1f-8b96-250723b24fe0","20140219T05:50:25.669+0000","03598f5f-feb9-4513-831d-4399f5b17654","ea8d3cc1-fbc9-4c1f-8b96-250723b24fe0","","","","","","","","","","","","","","",""
"","37441027","rochei","Auxis rochei (Risso, 1810)","SCOMBRIDAE","Auxis","","rochei","","Valid Name","","Species","","Risso","1810","N","cb041fe3-9ee1-4c19-865f-f253ff190272","20131008T23:07:52.756+0000","1e725ffb-3288-48b6-be54-a23a98aada15","20131008T23:07:52.756+0000","9c8a0e53-7499-48df-a837-7f3a382877ab","1e725ffb-3288-48b6-be54-a23a98aada15","","","","","","","","","","","","","","",""
"","37441009","thazard","Auxis thazard (Lacépède, 1800)","SCOMBRIDAE","Auxis","","thazard","","Valid Name","","Species","","Lacépède","1800","N","9b6ad50c-101b-4355-80ee-e1c585850eea","20131008T23:07:52.756+0000","efcc811c-93c0-447e-9b8c-425cf152bff2","20131008T23:07:52.756+0000","9c8a0e53-7499-48df-a837-7f3a382877ab","efcc811c-93c0-447e-9b8c-425cf152bff2","","","","","","","","","","","","","","",""
"","37109001","abarbatus","Bathophilus abarbatus Barnett & Gibbs, 1968","STOMIIDAE","Bathophilus","","abarbatus","","Valid Name","","Species","","Barnett & Gibbs","1968","Y","2e794092-f115-4042-a156-571764a1526c","20081009T05:11:37.000+0000","a3da2d15-7998-40ed-9ff4-6bf92dd7ded6","20100727T00:03:17.157+0000","882eb693-1fa9-4b0f-85db-1a8450985e02","a3da2d15-7998-40ed-9ff4-6bf92dd7ded6","","","","","","","","","","","","","","",""
"","37109003","longipinnis","Bathophilus longipinnis (Pappenheim, 1914)","STOMIIDAE","Bathophilus","","longipinnis","","Valid Name","","Species","","Pappenheim","1914","N","83d00ce1-5d98-4028-900a-6f6a4e5d55c4","20081009T05:11:37.000+0000","76cfe38f-f08b-4ec3-b5bc-7e2c1dbfd9b3","20100727T00:03:17.157+0000","882eb693-1fa9-4b0f-85db-1a8450985e02","76cfe38f-f08b-4ec3-b5bc-7e2c1dbfd9b3","","","","","","","","","","","","","","",""
"","37122078","fibulatum","Benthosema fibulatum (Gilbert & Cramer, 1897)","MYCTOPHIDAE","Benthosema","","fibulatum","","Valid Name","","Species","","Gilbert & Cramer","1897","N","b319ce0b-f3af-4e78-9b86-3c2ae752b880","20081009T05:11:37.000+0000","46252f30-6e7e-4e40-bdc1-368d61481be3","20110729T03:01:32.869+0000","9fbb91a1-f136-464a-b161-ad432234e290","46252f30-6e7e-4e40-bdc1-368d61481be3","","","","","","","","","","","","","","",""
"","37122025","longipes","Bolinichthys longipes (Brauer, 1906)","MYCTOPHIDAE","Bolinichthys","","longipes","","Valid Name","","Species","","Brauer","1906","N","50ec7bb4-6ba0-438a-a1c8-af5f73661da1","20081009T05:11:37.000+0000","94585eab-d21b-48f8-91d7-8c2090603e9a","20100727T00:07:22.682+0000","2ff48c1f-24e4-4828-9222-7144451fcd1b","94585eab-d21b-48f8-91d7-8c2090603e9a","","","","","","","","","","","","","","",""
"","37342011","dussumieri","Brama dussumieri Cuvier, 1831","BRAMIDAE","Brama","","dussumieri","","Valid Name","","Species","","Cuvier","1831","Y","7450e2ad-9bcf-4698-abc2-bdd608d7b2de","20131008T23:07:52.756+0000","9e5a9b87-40d2-49cd-87b9-2e7b1c7cad9b","20131008T23:07:52.756+0000","1afc04d9-b6e3-470a-80fb-dcb843d7b2f0","9e5a9b87-40d2-49cd-87b9-2e7b1c7cad9b","","","","","","","","","","","","","","",""
"","37342012","myersi","Brama myersi Mead, 1972","BRAMIDAE","Brama","","myersi","","Valid Name","","Species","","Mead","1972","Y","f2d20283-14df-4244-80fb-789698a8af1a","20131015T00:35:15.844+0000","efff04c8-5a7d-4283-94f6-dc40fc016b57","20131015T00:35:15.844+0000","1afc04d9-b6e3-470a-80fb-dcb843d7b2f0","efff04c8-5a7d-4283-94f6-dc40fc016b57","","","","","","","","","","","","","","",""
"","37342004","orcini","Brama orcini Cuvier, 1831","BRAMIDAE","Brama","","orcini","","Valid Name","","Species","","Cuvier","1831","Y","10089237-15bc-44c3-a966-7fde38755fd5","20131008T23:07:52.756+0000","2f722b78-cc10-41b0-ba38-c7da40244f7b","20131008T23:07:52.756+0000","1afc04d9-b6e3-470a-80fb-dcb843d7b2f0","2f722b78-cc10-41b0-ba38-c7da40244f7b","","","","","","","","","","","","","","",""
"","37342009","pauciradiata","Brama pauciradiata Moteki, Fujita & Last, 1995","BRAMIDAE","Brama","","pauciradiata","","Valid Name","","Species","","Moteki, Fujita & Last","1995","Y","eba692bf-83f3-47dd-b025-bd7eeb2585b0","20131008T23:07:52.756+0000","0933b627-22dc-4b26-a047-4b1e35926991","20131015T00:35:15.844+0000","1afc04d9-b6e3-470a-80fb-dcb843d7b2f0","0933b627-22dc-4b26-a047-4b1e35926991","","","","","","","","","","","","","","",""
"","37122081","andreae","Centrobranchus andreae (Lütken, 1892)","MYCTOPHIDAE","Centrobranchus","","andreae","","Valid Name","","Species","","Lütken","1892","N","923906c4-2413-43d7-b36e-b470069a46af","20081009T05:11:37.000+0000","1ca44c7f-7d4a-46ae-9396-edb09f2330a2","20100727T00:07:22.682+0000","0faf6778-8e41-4092-868b-bb82245e224e","1ca44c7f-7d4a-46ae-9396-edb09f2330a2","","","","","","","","","","","","","","",""
"","37122029","nigroocellatus","Centrobranchus nigroocellatus (Günther, 1873)","MYCTOPHIDAE","Centrobranchus","","nigroocellatus","","Valid Name","","Species","","Günther","1873","N","13b0cc7e-07a6-497b-bbbe-4ad56af47f85","20081009T05:11:37.000+0000","7722efed-1a70-45dd-ba98-f74c01f6b0c7","20100727T00:07:22.682+0000","0faf6778-8e41-4092-868b-bb82245e224e","7722efed-1a70-45dd-ba98-f74c01f6b0c7","","","","","","","","","","","","","","",""
"","37122021","warmingii","Ceratoscopelus warmingii (Lütken, 1892)","MYCTOPHIDAE","Ceratoscopelus","","warmingii","","Valid Name","","Species","","Lütken","1892","N","6d2b9a97-8cef-411b-8121-0b59418602f4","20081009T05:11:37.000+0000","97880d11-7aeb-4afa-8eb7-6c6e58c74e7b","20100727T00:07:22.682+0000","68e22362-7943-42e3-bb26-bdeeb5a3d24a","97880d11-7aeb-4afa-8eb7-6c6e58c74e7b","","","","","","","","","","","","","","",""
"","37111001","sloani","Chauliodus sloani Bloch & Schneider, 1801","STOMIIDAE","Chauliodus","","sloani","","Valid Name","","Species","","Bloch & Schneider","1801","Y","2209740b-41b8-4c58-88ca-61895bfab52b","20081009T05:11:37.000+0000","a48dd410-bde2-42cd-9f38-2f5272e38625","20100727T00:03:17.157+0000","994a075e-35bd-4d45-8983-09bbc5552c21","a48dd410-bde2-42cd-9f38-2f5272e38625","","","","","","","","","","","","","","",""
"","37233007","abei","Cheilopogon abei Parin, 1996","EXOCOETIDAE","Cheilopogon","","abei","","Valid Name","","Species","","Parin","1996","Y","766dfad1-647b-458f-a96d-b7d2e4e3b996","20170620T08:06:11.104+0000","6feb1cb7-a2dc-492c-a823-b260daeddaef","20180329T02:08:16.158+0000","d9cdf119-6712-446b-8f92-3372c0a18659","6feb1cb7-a2dc-492c-a823-b260daeddaef","","","","","","","","","","","","","","",""
"","37372002","hypsilepis","Chromis hypsilepis (Günther, 1867)","POMACENTRIDAE","Chromis","","hypsilepis","","Valid Name","","Species","","Günther","1867","N","bd49e79e-adca-467f-8647-88bc15977a4f","20170513T09:54:55.880+0000","bfc16a3f-f295-462b-b3e9-3a419e2a8506","20170727T04:09:21.978+0000","83ee4548-4e42-4b5f-845a-5f6ea3cc2a4a","bfc16a3f-f295-462b-b3e9-3a419e2a8506","","","","","","","","","","","","","","",""
"","37384081","laboutei","Cirrhilabrus laboutei Randall & Lubbock, 1982","LABRIDAE","Cirrhilabrus","","laboutei","","Valid Name","","Species","","Randall & Lubbock","1982","Y","6f5463f6-55fa-47ee-99ee-f0d3e2fa419e","20170628T05:51:31.655+0000","87c1c12c-6d01-4139-8a27-446441628ee2","20170727T04:09:21.978+0000","57f3f09a-6439-45ba-aab1-d539d1e0bfa0","87c1c12c-6d01-4139-8a27-446441628ee2","","","","","","","","","","","","","","",""
"","37232123","sereti","Coelorinchus sereti Iwamoto & Merrett, 1997","MACROURIDAE","Coelorinchus","","sereti","","Valid Name","","Species","","Iwamoto & Merrett","1997","Y","ff087e50-6b63-4a46-8188-0ea64e91c681","20180509T06:43:19.730+0000","ed157e3a-9c45-486e-a385-0f01f01a5f4a","20180731T05:42:43.637+0000","3d0a43aa-29bc-4ece-b8b1-677ea69015bd","ed157e3a-9c45-486e-a385-0f01f01a5f4a","","","","","","","","","","","","","","",""
"","37232118","spathulatus","Coelorinchus spathulatus McMillan & Paulin, 1993","MACROURIDAE","Coelorinchus","","spathulatus","","Valid Name","","Species","","McMillan & Paulin","1993","Y","8448464b-a5b7-4edd-b28f-68f3c599ff14","20180411T22:50:16.904+0000","c3de4325-0306-4399-943d-152350bdde9a","20180731T05:42:43.637+0000","3d0a43aa-29bc-4ece-b8b1-677ea69015bd","c3de4325-0306-4399-943d-152350bdde9a","","","","","","","","","","","","","","",""
"","37338002","equiselis","Coryphaena equiselis Linnaeus, 1758","CORYPHAENIDAE","Coryphaena","","equiselis","","Valid Name","","Species","","Linnaeus","1758","Y","99d3eb0f-ef7e-443d-825a-3fe759c63fa0","20121109T05:21:56.697+0000","2b4cdfac-dace-4924-9ea5-79b576e3954d","20121109T05:33:47.860+0000","1c2e17be-9e5f-41b3-b2ef-9c86812570f4","2b4cdfac-dace-4924-9ea5-79b576e3954d","","","","","","","","","","","","","","",""
"","37338001","hippurus","Coryphaena hippurus Linnaeus, 1758","CORYPHAENIDAE","Coryphaena","","hippurus","","Valid Name","","Species","","Linnaeus","1758","Y","7a0494b4-6f09-41ff-b283-7e00c1f443e9","20121109T05:24:00.924+0000","3ef4e91c-5d4b-455a-822e-8c42be47aafe","20121109T05:33:47.860+0000","1c2e17be-9e5f-41b3-b2ef-9c86812570f4","3ef4e91c-5d4b-455a-822e-8c42be47aafe","","","","","","","","","","","","","","",""
"","37232053","striaturus","Coryphaenoides striaturus Barnard, 1925","MACROURIDAE","Coryphaenoides","","striaturus","","Valid Name","","Species","","Barnard","1925","Y","8b1c44ae-bb2a-490b-8539-ed8700f866c2","20180509T06:47:30.305+0000","df606601-f14b-4e0b-84c7-b936f904baac","20180731T05:42:43.637+0000","793d0538-e104-490c-a75d-a226f934da87","df606601-f14b-4e0b-84c7-b936f904baac","","","","","","","","","","","","","","",""
"","37446006","baxteri","Cubiceps baxteri McCulloch, 1923","NOMEIDAE","Cubiceps","","baxteri","","Valid Name","","Species","","McCulloch","1923","Y","dbbe7e8e-d5aa-4096-b0e5-fa745978d381","20131008T23:07:52.756+0000","9e7d647b-45aa-45f0-b74c-38e5e613f791","20131008T23:07:52.756+0000","442288aa-c41f-4c67-92b8-83f07d000756","9e7d647b-45aa-45f0-b74c-38e5e613f791","","","","","","","","","","","","","","",""
"","37446017","capensis","Cubiceps capensis (Smith, 1847)","NOMEIDAE","Cubiceps","","capensis","","Valid Name","","Species","","Smith","1847","N","f79134e0-54e1-4fa7-9112-90e5ecaf3ca9","20131008T23:07:52.756+0000","e95961f4-a4dc-474e-a6a4-054d6e7dfca2","20131008T23:07:52.756+0000","442288aa-c41f-4c67-92b8-83f07d000756","e95961f4-a4dc-474e-a6a4-054d6e7dfca2","","","","","","","","","","","","","","",""
"","37446013","whiteleggii","Cubiceps whiteleggii (Waite, 1894)","NOMEIDAE","Cubiceps","","whiteleggii","","Valid Name","","Species","","Waite","1894","N","43fb1d24-ffdf-46ed-8de9-123c59df697e","20131008T23:07:52.756+0000","62972596-4836-48a1-81c3-0931873f6a9b","20131015T05:31:29.748+0000","442288aa-c41f-4c67-92b8-83f07d000756","62972596-4836-48a1-81c3-0931873f6a9b","","","","","","","","","","","","","","",""
"","37441008","elegans","Cybiosarda elegans (Whitley, 1935)","SCOMBRIDAE","Cybiosarda","","elegans","","Valid Name","","Species","","Whitley","1935","N","e3d6ff16-c644-49e9-aabd-7e06009708aa","20131008T23:07:52.756+0000","d631a9b6-d6af-4e4c-84df-e5a136c678df","20131008T23:07:52.756+0000","bed6a0fb-d9da-430e-ab8a-03b6533168d5","d631a9b6-d6af-4e4c-84df-e5a136c678df","","","","","","","","","","","","","","",""
"","37106026","parapallida","Cyclothone parapallida Badcock, 1982","GONOSTOMATIDAE","Cyclothone","","parapallida","","Valid Name","","Species","","Badcock","1982","Y","d3ed6ba9-0b2a-4df2-935d-ea648e3844bb","20081009T05:11:37.000+0000","b8279cfd-3a1a-4fe3-8562-4239aaddf3f7","20100727T00:03:17.157+0000","7a02e544-b665-4fd2-b621-57bcae78e84b","b8279cfd-3a1a-4fe3-8562-4239aaddf3f7","","","","","","","","","","","","","","",""
"","37264011","affinis","Cyttomimus affinis Weber, 1913","ZENIONTIDAE","Cyttomimus","","affinis","","Valid Name","","Species","","Weber","1913","Y","ab43417a-0d23-4590-a800-fe11dc469830","20130506T03:10:32.387+0000","181d551a-98b7-4c6b-bb97-9325e9c84fda","20130506T04:26:12.282+0000","f5c7b3d7-38e5-420c-b312-3e7465c418be","181d551a-98b7-4c6b-bb97-9325e9c84fda","","","","","","","","","","","","","","",""
"","37264009","cypho","Cyttopsis cypho (Fowler, 1934)","PARAZENIDAE","Cyttopsis","","cypho","","Valid Name","","Species","","Fowler","1934","N","0551409d-ca32-4692-b082-3b209607cd6e","20130506T02:56:51.218+0000","0ca9faee-f2a3-4b66-a33f-4f51532b26a7","20131106T00:24:42.251+0000","45f5e9dc-3289-4195-92fe-d49b10989cb5","0ca9faee-f2a3-4b66-a33f-4f51532b26a7","","","","","","","","","","","","","","",""
"","37264010","rosea","Cyttopsis rosea (Lowe, 1843)","PARAZENIDAE","Cyttopsis","","rosea","","Valid Name","","Species","","Lowe","1843","N","4d47b7c7-76ef-4a2b-92e4-a77c9164d508","20131009T06:42:55.424+0000","68e14320-56ad-4301-9c0a-dad8c9c0b929","20131009T06:42:55.424+0000","45f5e9dc-3289-4195-92fe-d49b10989cb5","68e14320-56ad-4301-9c0a-dad8c9c0b929","","","","","","","","","","","","","","",""
"","37020002","licha","Dalatias licha (Bonnaterre, 1788)","DALATIIDAE","Dalatias","","licha","","Valid Name","","Species","","Bonnaterre","1788","N","b7445b04-3643-4619-83af-220f135c616f","20110823T09:55:50.681+0000","2bd8e210-9bc2-42a1-a432-9212ce959682","20120416T05:24:25.862+0000","314b1ef4-c31f-4dd2-a73d-ec384aab378c","2bd8e210-9bc2-42a1-a432-9212ce959682","","","","","","","","","","","","","","",""
"","37122030","anderseni","Diaphus anderseni Tåning, 1932","MYCTOPHIDAE","Diaphus","","anderseni","","Valid Name","","Species","","Tåning","1932","Y","17a4cb87-c562-4cab-b3b5-1b37cc05666f","20081009T05:11:37.000+0000","49363f0f-607f-41c5-bd65-d47de7785d16","20100727T00:07:22.682+0000","d7b24f86-31e4-4bfa-be24-124affa22173","49363f0f-607f-41c5-bd65-d47de7785d16","","","","","","","","","","","","","","",""
"","37122032","brachycephalus","Diaphus brachycephalus Tåning, 1928","MYCTOPHIDAE","Diaphus","","brachycephalus","","Valid Name","","Species","","Tåning","1928","Y","e6ca2b8e-d63c-4fbc-aec4-df3185de4ea9","20081009T05:11:37.000+0000","c87752ac-6c8f-4d99-9d1e-c5fc47c3b04b","20100727T00:07:22.682+0000","d7b24f86-31e4-4bfa-be24-124affa22173","c87752ac-6c8f-4d99-9d1e-c5fc47c3b04b","","","","","","","","","","","","","","",""
"","37122083","chrysorhynchus","Diaphus chrysorhynchus Gilbert & Cramer, 1897","MYCTOPHIDAE","Diaphus","","chrysorhynchus","","Valid Name","","Species","","Gilbert & Cramer","1897","Y","adad555a-a3b9-40fd-a088-072a214c6314","20081009T05:11:37.000+0000","d96dc432-eb54-4c9b-9572-b477cedf2790","20100727T00:07:22.682+0000","d7b24f86-31e4-4bfa-be24-124affa22173","d96dc432-eb54-4c9b-9572-b477cedf2790","","","","","","","","","","","","","","",""
"","37122072","diadematus","Diaphus diadematus Tåning, 1932","MYCTOPHIDAE","Diaphus","","diadematus","","Valid Name","","Species","","Tåning","1932","Y","82ab6c5d-0819-4999-a7d9-e56d91e8d300","20081009T05:11:37.000+0000","85919e59-ad37-46e7-8159-ac8930686cd5","20100727T00:07:22.682+0000","d7b24f86-31e4-4bfa-be24-124affa22173","85919e59-ad37-46e7-8159-ac8930686cd5","","","","","","","","","","","","","","",""
"","37122034","fragilis","Diaphus fragilis Tåning, 1928","MYCTOPHIDAE","Diaphus","","fragilis","","Valid Name","","Species","","Tåning","1928","Y","b6712b0e-0261-40ea-aaf5-47a41038458d","20081009T05:11:37.000+0000","a4d27e8d-3c10-4754-9eb3-a18ae70cd8a2","20100727T00:07:22.682+0000","d7b24f86-31e4-4bfa-be24-124affa22173","a4d27e8d-3c10-4754-9eb3-a18ae70cd8a2","","","","","","","","","","","","","","",""
"","37122084","garmani","Diaphus garmani Gilbert, 1906","MYCTOPHIDAE","Diaphus","","garmani","","Valid Name","","Species","","Gilbert","1906","Y","f9f6c558-f731-4b73-a8c3-7592d648b1ba","20081009T05:11:37.000+0000","83830c8e-367c-439b-beae-19bfbf6a8685","20100727T00:07:22.682+0000","d7b24f86-31e4-4bfa-be24-124affa22173","83830c8e-367c-439b-beae-19bfbf6a8685","","","","","","","","","","","","","","",""
